ID;Longitude;Latitude;kod.pocztowy;creationDate
138;50.900550;15.738590;58-500;24.09.2018
139;50.902096;15.735096;58-500;03.06.2019
140;50.902905;15.738898;58-500;06.03.2019
141;51.100674;17.042543;50-442;20.02.2017
142;51.161000;16.874079;54-701;25.07.2018
143;51.098263;16.937275;54-620;11.06.2017
144;51.114770;17.067250;50-346;28.10.2020
145;51.111107;16.959350;54-432;24.09.2020
146;51.122463;17.044040;50-301;28.10.2020
147;51.125454;17.056517;50-306;20.08.2020
148;51.085495;17.004171;53-150;12.03.2018
149;51.112305;17.063532;50-364;06.02.2018
150;51.067795;17.079805;52-112;31.01.2021
151;51.101543;16.999788;53-440;27.04.2019
152;51.122670;17.051878;50-315;25.04.2020
153;51.116070;17.058321;50-338;08.05.2020
154;51.076680;17.019978;53-114;16.04.2018
155;51.089813;17.045290;50-502;09.08.2017
156;51.090490;17.040703;50-520;26.06.2019
157;51.132626;17.066160;51-163;17.05.2017
158;51.101223;17.036010;50-006;28.07.2017
159;51.149440;17.074171;51-169;20.11.2019
160;51.107037;17.019710;53-602;22.01.2018
161;51.119890;17.046324;50-319;31.12.2020
162;51.153343;16.939262;54-107;21.03.2019
163;51.108840;17.030018;50-063;16.11.2019
164;51.155470;15.015155;59-900;03.08.2017
165;51.099827;17.031082;50-022;08.09.2018
166;50.850120;16.468533;58-105;14.12.2019
167;50.899080;14.971099;59-920;24.04.2020
168;51.256187;15.580543;59-700;04.04.2018
169;51.262000;15.565000;59-700;28.07.2019
170;51.275250;16.713776;56-120;09.05.2018
171;50.962566;17.390007;55-200;05.09.2019
172;51.273000;15.937000;59-225;06.02.2017
173;51.270000;15.940000;59-225;17.08.2019
174;50.728767;16.647667;58-200;11.12.2020
175;50.734050;16.642273;58-200;27.02.2020
176;50.736240;16.650318;58-200;12.12.2018
177;51.661976;16.077644;67-200;13.02.2017
178;51.667520;16.078901;67-200;16.04.2019
179;51.662796;16.082083;67-200;16.05.2020
180;51.654810;16.094662;67-200;24.09.2020
181;51.664220;16.089510;67-200;30.07.2018
182;51.657063;16.088942;67-200;15.09.2017
183;51.649338;16.076138;67-200;15.04.2019
184;51.667710;16.079142;67-200;18.06.2018
185;50.728924;16.344530;58-330;05.08.2017
186;50.438880;16.655120;57-300;26.03.2017
187;50.434418;16.640661;57-300;12.03.2017
188;50.436737;16.643393;57-300;01.07.2018
189;50.434790;16.655510;57-300;30.04.2020
190;50.796207;15.831572;58-530;27.01.2021
191;51.208000;16.152000;59-220;29.04.2020
192;51.205000;16.151000;59-220;19.11.2019
193;51.203808;16.188435;59-220;16.12.2018
194;51.212000;16.140000;59-220;06.07.2019
195;51.200000;16.160000;59-220;21.03.2020
196;51.211000;16.160000;59-220;27.10.2019
197;51.207000;16.140000;59-220;02.10.2018
198;51.204422;16.213606;59-220;20.02.2017
199;51.206000;16.159000;59-220;29.11.2017
200;51.194000;16.131000;59-220;30.10.2019
201;51.119175;15.290218;59-800;15.10.2018
202;51.387028;16.202936;59-300;31.12.2017
203;51.404095;16.188894;59-300;19.10.2019
204;51.403408;16.164644;59-300;13.04.2018
205;51.386580;16.217110;59-300;02.06.2019
206;51.402410;16.172773;59-300;25.04.2017
207;51.381160;16.217339;59-300;19.02.2020
208;51.389114;16.204683;59-300;10.02.2017
209;51.111500;15.587862;59-600;18.04.2019
210;50.581783;16.501290;57-400;07.09.2018
211;50.544376;16.553614;57-402;16.03.2017
212;50.943820;17.276170;55-200;11.10.2020
213;50.946285;17.294900;55-200;20.06.2020
214;50.950950;17.271988;55-200;27.06.2017
215;50.968643;16.344746;58-150;21.06.2019
216;50.802086;16.254150;58-310;14.07.2017
217;50.841934;16.492483;58-100;16.03.2018
218;50.842503;16.488443;58-100;10.07.2020
219;50.841087;16.508175;58-100;04.10.2020
220;50.842280;16.490700;58-100;19.11.2017
221;50.840275;16.483398;58-100;10.07.2018
222;50.764774;16.277540;58-300;22.05.2017
223;50.823547;16.268236;58-309;24.04.2019
224;50.769520;16.277230;58-300;23.05.2017
225;50.805000;16.282000;58-300;01.06.2019
226;50.820694;16.273333;58-316;23.01.2017
227;50.591000;16.812000;57-200;25.01.2019
228;50.959290;16.345211;58-150;17.07.2017
229;50.903774;14.956483;59-920;12.04.2020
230;50.808857;16.284971;58-300;12.03.2018
231;51.103080;17.094921;51-631;26.12.2018
232;51.075447;16.992907;53-027;10.03.2018
233;50.681114;16.620977;58-260;03.06.2018
234;51.418293;15.902501;59-140;15.04.2017
235;51.174570;17.192814;55-095;30.08.2020
236;50.728000;16.652000;58-200;04.01.2020
237;50.404790;16.390175;57-340;04.06.2019
238;51.057000;16.190000;59-400;24.12.2019
239;51.051020;16.192879;59-400;16.05.2018
240;50.782450;16.029095;58-400;24.03.2017
241;50.774986;15.754908;58-540;28.03.2021
242;51.022030;17.003780;52-200;31.01.2019
243;51.095867;16.943089;54-617;08.10.2020
244;51.133430;17.029806;51-109;20.12.2019
245;51.064000;16.984000;52-314;20.08.2019
246;51.177628;16.999743;51-180;16.03.2020
247;51.061170;17.028270;52-222;15.08.2020
248;51.085090;17.045237;50-543;10.03.2019
249;51.261574;15.573907;59-700;27.09.2020
250;51.142082;17.169670;52-111;10.04.2020
251;50.766865;16.281961;58-300;28.03.2017
252;50.740223;16.650557;58-200;04.11.2018
253;51.034650;17.343426;55-220;07.01.2017
254;51.226000;16.163000;59-220;14.05.2020
255;50.841774;16.483122;58-100;09.05.2019
256;51.034130;16.967258;55-040;22.07.2018
257;50.901910;14.972117;59-920;15.03.2017
258;51.261177;15.557767;59-700;27.03.2019
259;51.264126;15.560452;59-700;30.04.2020
260;51.263252;15.586239;59-700;24.01.2020
261;51.270270;16.704205;56-120;24.10.2018
262;51.267400;16.700790;56-120;27.03.2020
263;50.299553;16.649887;57-500;16.09.2019
264;51.272000;15.932000;59-225;14.12.2020
265;50.401474;16.391466;57-340;30.12.2020
266;51.400650;16.206343;59-300;09.07.2020
267;50.944386;17.289238;55-200;30.03.2017
268;51.530950;17.275045;56-300;13.02.2019
269;51.163280;17.156027;55-095;03.05.2019
270;51.208070;17.379484;56-400;24.07.2020
271;51.214096;17.393887;56-400;27.08.2019
272;51.213210;17.387762;56-400;04.06.2018
273;50.727430;16.653841;58-200;15.08.2020
274;50.729950;16.653520;58-200;02.10.2018
275;50.738800;16.639840;58-200;09.12.2018
276;51.652798;16.063900;67-200;18.02.2018
277;51.665565;16.083729;67-200;30.03.2021
278;51.654453;16.071451;67-200;15.07.2017
279;51.657932;16.076225;67-200;14.06.2019
280;51.649370;16.076189;67-200;18.03.2017
281;51.028400;15.415197;59-620;10.10.2017
282;50.865005;15.678965;58-500;12.12.2020
283;51.032555;16.760658;55-080;13.06.2020
284;50.433933;16.644566;57-300;10.06.2017
285;50.432330;16.650898;57-300;14.06.2017
