business_key,business_id,status,effective_from,effective_till,city
7608334,1483,F,'2017-12-30 01:12:04.027','2020-02-10 03:26:03.444',Warsaw
9176501,1483,F,'2020-02-10 03:26:03.444',,Chicago
7487780,1484,F,'2017-12-30 17:02:22.853','2020-02-10 03:26:05.510',Warsaw
9176506,1484,F,'2020-02-10 03:26:05.510',,Chicago
7608323,1485,T,'2017-12-31 02:09:13.883','2018-06-14 10:03:00.178',Orlando
9176509,1485,F,'2020-02-10 03:26:07.490',,Warsaw
7608310,1486,T,'2018-01-01 23:15:17.287','2018-06-14 10:03:14.463',Orlando
7638707,1487,F,'2018-04-09 17:42:28.368','2020-02-10 03:26:11.802',Warsaw
9176525,1488,F,'2020-02-10 03:26:13.862',,Orlando
7476752,1489,T,'2018-01-05 13:19:46.029','2018-02-01 00:30:00.000',Chicago
7486692,1489,P,'2018-02-01 00:30:00.000','2018-07-20 10:32:26.446',Orlando
8200327,1489,O,'2019-03-25 10:39:46.222','2019-06-28 16:39:30.511',Warsaw
8504166,1489,L,'2019-06-28 16:39:30.511','2020-02-10 02:06:35.296',Cracow
9176528,1490,F,'2020-02-10 03:26:16.029',,Orlando
7608250,1491,F,'2018-01-06 21:04:37.052','2020-02-10 03:26:18.076',Orlando
7608236,1492,F,'2018-01-08 16:52:00.749','2020-02-10 03:26:20.114',
7608224,1493,T,'2018-01-09 12:43:02.298','2018-06-14 10:03:02.471',Chicago
7743649,1493,F,'2018-06-28 10:07:07.346','2018-06-28 10:48:19.855',Warsaw
7608213,1494,T,'2018-01-10 00:54:13.626','2018-06-14 10:03:15.122',Orlando
7721419,1494,E,'2018-06-14 10:03:15.122','2018-06-28 10:07:13.441',Chicago
7744433,1494,F,'2018-06-28 10:48:22.464','2020-02-10 03:26:24.280',Orlando
7608200,1495,T,'2018-01-10 12:50:41.780','2018-06-14 10:03:15.047',Chicago
7721417,1495,E,'2018-06-14 10:03:15.047','2018-06-28 10:07:03.526',Warsaw
7743540,1495,F,'2018-06-28 10:07:03.526','2018-06-28 10:48:17.368',Warsaw
7721322,1497,E,'2018-06-14 10:03:11.480','2018-06-28 10:07:10.417',Chicago
7743740,1497,F,'2018-06-28 10:07:10.417','2018-06-28 10:48:21.100',Chicago
7744374,1497,F,'2018-06-28 10:48:21.100','2020-02-10 03:26:30.552',Chicago
9176569,1497,F,'2020-02-10 03:26:30.552',,Warsaw
9176581,1499,F,'2020-02-10 03:26:34.942',,Warsaw
7608145,1500,S,'2018-01-12 18:50:24.087','2020-02-10 03:26:37.029',Warsaw
9176599,1501,F,'2020-02-10 03:26:38.918',,Orlando
7608124,1502,F,'2018-01-13 21:07:54.052','2020-02-10 03:26:40.822',Warsaw
7608113,1503,T,'2018-01-14 00:19:12.418','2018-06-14 10:03:13.794',Orlando
7721384,1503,E,'2018-06-14 10:03:13.794','2018-06-28 10:07:12.299',Chicago
7637605,1504,T,'2018-04-07 23:04:46.359','2018-05-04 12:18:39.808',Cracow
7658803,1504,P,'2018-05-04 12:18:39.808','2018-07-03 12:47:10.832',Orlando
7753420,1504,O,'2018-07-03 12:47:10.832','2018-07-25 16:17:28.464',Chicago
7781468,1504,L,'2018-07-25 16:17:28.464','2018-08-02 02:00:00.000',Warsaw
7788722,1504,L,'2018-08-02 02:00:00.000','2018-09-03 12:24:17.405',Chicago
7804308,1504,L,'2018-09-03 12:24:17.405','2020-02-10 03:26:45.036',Warsaw
7608093,1505,S,'2018-01-15 08:41:37.605','2020-02-10 03:26:46.901',Orlando
7608082,1506,T,'2018-01-15 11:50:26.035','2018-06-14 10:03:14.904',Chicago
7721413,1506,E,'2018-06-14 10:03:14.904','2018-06-28 10:07:13.306',Chicago
7744430,1506,F,'2018-06-28 10:48:22.396','2020-02-10 03:26:48.967',Cracow
9176640,1506,F,'2020-02-10 03:26:48.967',,Orlando
9176653,1508,F,'2020-02-10 03:26:52.793',,Cracow
8343008,1509,O,'2019-06-12 12:01:07.965','2019-06-19 11:27:43.908',Cracow
9320906,1509,P,'2020-02-13 11:58:50.027','2020-02-13 20:07:43.049',Chicago
9329618,1509,P,'2020-02-14 02:01:14.778','2020-02-14 09:55:28.951',Chicago
9335791,1509,P,'2020-02-14 09:55:28.951','2020-02-14 12:59:02.207',Orlando
9341629,1509,P,'2020-02-14 16:39:24.681','2020-02-15 13:59:15.027',Orlando
9553107,1509,O,'2020-06-12 12:45:35.245','2020-06-19 23:02:51.377',Chicago
7608041,1510,S,'2018-01-16 22:20:03.853','2020-02-10 03:26:54.724',Chicago
9176654,1510,S,'2020-02-10 03:26:54.724',,Chicago
7743824,1511,F,'2018-06-28 10:07:13.273','2018-06-28 10:48:22.374',Orlando
7744429,1511,F,'2018-06-28 10:48:22.374','2020-02-10 03:26:56.654',Warsaw
9176656,1511,F,'2020-02-10 03:26:56.654',,Orlando
7621754,1512,P,'2018-01-17 22:20:24.930','2018-07-02 12:51:39.882',Chicago
7752325,1512,O,'2018-07-02 12:51:39.882','2018-07-22 03:01:06.469',Warsaw
7839871,1512,O,'2018-10-02 12:13:37.056','2018-10-05 12:15:29.192',Orlando
7978439,1512,O,'2019-01-02 11:12:58.791','2019-01-06 03:00:54.417',Warsaw
7984019,1512,P,'2019-01-06 03:00:54.417','2019-02-23 17:00:07.978',Orlando
8136134,1512,O,'2019-02-23 17:00:07.978','2019-02-27 13:34:06.309',Chicago
8279831,1512,O,'2019-05-02 12:36:44.870','2019-05-05 03:00:28.674',Cracow
8283888,1512,P,'2019-05-05 03:00:28.674','2019-06-11 11:16:24.196',Orlando
8581662,1512,O,'2019-08-02 12:44:53.967','2019-08-04 03:12:07.977',Chicago
8590183,1512,P,'2019-08-04 03:12:07.977','2019-09-02 12:57:26.156',Orlando
8665341,1512,O,'2019-09-02 12:57:26.156','2019-09-08 03:03:31.216',Warsaw
8745457,1512,O,'2019-10-02 12:44:37.361','2019-10-11 01:00:00.046',Warsaw
8770101,1512,L,'2019-10-11 01:00:00.046','2019-10-11 22:34:58.423',Orlando
8772215,1512,P,'2019-10-11 22:34:58.423','2020-01-02 11:36:33.468',Orlando
9031438,1512,O,'2020-01-02 11:36:33.468','2020-01-03 18:59:19.367',Orlando
9034461,1512,P,'2020-01-03 18:59:19.367','2020-02-13 02:00:50.167',Orlando
7608012,1513,T,'2018-01-17 22:44:16.447','2018-06-14 10:03:18.626',Chicago
7721509,1513,E,'2018-06-14 10:03:18.626','2018-06-28 10:07:16.274',Warsaw
7743906,1513,F,'2018-06-28 10:07:16.274','2018-06-28 10:48:13.762',Cracow
7744067,1513,F,'2018-06-28 10:48:13.762','2020-02-10 03:26:58.679',Orlando
9176660,1513,F,'2020-02-10 03:26:58.679',,Chicago
7721377,1514,E,'2018-06-14 10:03:13.528','2018-06-28 10:07:02.378',Chicago
7744178,1514,F,'2018-06-28 10:48:16.388','2020-02-10 03:27:00.582',Warsaw
9176661,1514,F,'2020-02-10 03:27:00.582',,Chicago
9176663,1516,S,'2020-02-10 03:27:04.414',,Orlando
7607969,1517,T,'2018-01-19 23:28:20.244','2018-06-14 10:03:17.634',Orlando
7721485,1517,E,'2018-06-14 10:03:17.634','2018-06-28 10:07:15.337',Warsaw
7743881,1517,F,'2018-06-28 10:07:15.337','2018-06-28 10:48:12.517',Cracow
7744015,1517,F,'2018-06-28 10:48:12.517','2020-02-10 03:27:06.295',Chicago
9176667,1518,S,'2020-02-10 03:27:08.250',,Orlando
7607947,1519,S,'2018-01-20 15:25:15.504','2020-02-10 03:27:10.182',Orlando
9176672,1519,S,'2020-02-10 03:27:10.182',,Warsaw
7607939,1520,T,'2018-01-20 17:03:44.570','2018-06-14 10:03:13.257',Warsaw
7743785,1520,F,'2018-06-28 10:07:11.952','2018-06-28 10:48:21.538',Warsaw
7744393,1520,F,'2018-06-28 10:48:21.538','2020-02-10 03:27:12.158',Cracow
9176681,1520,F,'2020-02-10 03:27:12.158',,Orlando
7648377,1521,T,'2018-04-20 00:46:23.026','2018-05-04 15:55:44.258',Cracow
7658854,1521,T,'2018-05-04 15:55:44.258','2018-06-14 10:03:04.939',
7743443,1521,F,'2018-06-28 10:07:00.158','2018-07-28 10:37:33.687',Chicago
9176697,1522,S,'2020-02-10 03:27:16.090',,Warsaw
